matching	BMC Bioinformatics	BMC Genomics	Bioinformatics	Cell	Cell Genom	Front Genet	Genome Biol	Genome Res	Lancet	NAR Genom Bioinform	Nat Commun	Nat Genet	Nat Med	Nature	Nucleic Acids Res	PLoS Biol	PLoS Genet	Science	eLife
data is available upon reasonable request	0.0	1.2987012987012987	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04803073967339097	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
data are available on reasonable request	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.272727272727273	0.0	0.40650406504065045	0.0	0.0	0.0	0.0
data available from the corresponding author upon request	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09606147934678194	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
data is available on reasonable request	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09606147934678194	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
data available from the corresponding author on reasonable request	0.0	1.2987012987012987	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
data is available upon request	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.40650406504065045	0.0	0.0	0.0	0.0
provided on reasonable request	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8333333333333334	0.0	0.0	0.0	0.0	0.0
data are available upon request	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.40650406504065045	0.0	0.0	0.0	0.0
data is available from the corresponding author on reasonable request	0.0	1.2987012987012987	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
data are available from the corresponding author upon request	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04803073967339097	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
available upon request	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04803073967339097	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
available upon request	0.0	0.0	0.0	0.0	2.941176470588235	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
shared under request	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04803073967339097	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
available under reasonable request	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4694835680751174
sharedon reasonable request	0.0	0.0	2.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
supplied upon request	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8333333333333334	0.0	0.0	0.0	0.0	0.0
